EmployeeID,PerformanceScore,ProjectsCompleted,ProjectsDue,TechnicalSkillsScore,SoftSkillsScore,TrainingProgramsCompleted,Attendance,YearsWithCompany,YearsInIndustry,PromotionScore,PromotionStatus
1,4.088194844,8,0,3.32832622,3.703415964,9,97.26262222,4,3,6.676908853,No
2,4.270172735,10,9,2.106478737,2.597663101,9,95.97666468,6,14,7.554015635,Yes
3,2.525076015,1,3,2.185850126,3.453416713,5,99.82220998,4,11,5.05278945,No
4,4.022935466,3,2,2.15558848,2.735014373,5,88.33423888,4,5,5.155395008,No
5,3.709266493,14,5,2.287409285,2.177270767,9,96.27317945,3,7,6.765374571,No
6,4.736786579,8,1,3.210476441,2.165421943,7,88.03570676,9,19,7.578317405,Yes
7,2.285266161,7,0,2.975553511,3.384367121,3,93.33206987,8,1,5.280257154,Yes
8,2.252482045,2,6,3.863826518,3.579597935,9,91.10422359,4,1,5.589757461,No
9,4.095341215,9,9,4.338790882,2.599733718,1,99.22658137,1,7,6.266888669,No
10,4.868776935,4,3,2.513837784,3.240289746,5,88.14975832,6,9,6.346391144,No
11,4.034969986,7,9,4.342336856,3.410062774,0,96.06003526,5,11,6.78481116,Yes
12,3.808821089,2,3,3.762926834,2.003481327,8,90.8734117,3,11,5.844306973,No
13,3.788892004,6,9,4.145976033,2.589039484,4,86.80490355,8,6,6.696090442,No
14,4.479858232,5,8,2.339961243,4.024749596,0,93.71960392,5,19,6.674266869,No
15,4.921558195,3,0,3.279760203,4.198529759,3,95.14123873,0,10,5.844600348,Yes
16,2.461122048,6,9,4.03388544,4.57426461,2,85.03097066,3,12,6.247195187,No
17,3.199602529,7,0,4.713853069,4.133576387,8,86.33169752,3,15,7.05908273,No
18,2.036899275,7,4,4.636334493,3.499210758,1,93.14400177,4,15,6.004114765,Yes
19,3.193960318,11,4,2.278060662,2.98038511,2,86.65130376,5,13,6.084412851,No
20,3.48399901,12,1,3.853588006,4.109422818,5,89.44704518,1,7,6.553330864,No
21,4.672536023,7,1,4.083644612,3.227957969,4,99.01788475,1,10,6.440100932,No
22,4.827864817,1,5,2.450278837,2.53444984,0,98.50072451,4,17,5.635673696,No
23,3.145445917,10,0,4.313583856,3.920916533,4,91.40969579,4,15,6.892416586,No
24,3.293496446,7,5,4.043808822,4.453674279,1,87.0769288,4,11,6.399693499,Yes
25,3.469243427,4,5,3.735709092,2.456161667,6,93.44572129,4,12,6.128755076,No
26,3.276572005,13,0,4.15198281,3.614674586,8,86.24766097,0,8,6.705901294,No
27,3.859140573,2,0,3.695653954,2.456156055,2,86.24083122,4,18,5.579928346,No
28,3.044684745,7,2,4.163499201,4.209663177,9,97.68376929,9,8,7.488824047,No
29,4.822586341,10,8,4.090819857,4.393667232,3,86.98212102,3,2,7.132004714,No
30,2.336310326,1,2,3.403808731,4.105040175,1,85.31490517,8,5,5.021739717,Yes
31,4.179708365,13,8,3.573653014,3.311133423,8,93.72343184,3,1,7.286708984,No
32,4.39737221,14,0,2.564802922,2.910014349,4,96.67313229,1,4,6.134207259,Yes
33,2.78192605,10,3,3.558261352,4.790220101,8,88.93380299,6,17,7.695040522,Yes
34,3.369826643,13,1,2.361514298,3.361500939,8,87.98038033,6,14,7.185449391,Yes
35,2.452443593,1,8,2.525259855,4.966698927,5,85.78912302,6,6,5.6760553,No
36,2.089940259,13,1,3.304463254,2.842418813,0,95.17767571,7,9,5.831692168,Yes
37,3.392585955,5,6,4.42650275,3.68523919,6,90.69883606,4,11,6.756651423,No
38,4.119307073,11,7,2.472085088,2.065913924,5,92.05301233,7,17,7.225183149,No
39,4.541314943,11,4,2.202418279,4.307372072,9,86.07934432,9,15,8.320523861,Yes
40,3.039873638,5,1,3.910318976,4.486563159,2,95.81180096,3,17,6.234694344,Yes
41,2.535979581,2,4,2.609316092,3.258947312,4,99.87025032,5,9,5.183765504,No
42,4.441453363,13,7,4.202090884,3.495005171,4,93.74691391,1,16,7.702586151,No
43,3.235337605,9,5,3.609191071,2.926297873,4,98.53072923,7,8,6.625427363,No
44,3.663198727,11,7,2.667406344,2.510630223,4,97.20158954,6,6,6.485067259,No
45,2.709181201,12,4,3.011516101,4.850462382,0,97.91481743,6,16,6.938122638,No
46,4.001629813,9,8,4.157307512,2.747841111,7,94.43901397,4,10,7.273854822,No
47,2.434718372,1,0,3.949509193,3.088443172,1,92.79289804,3,1,4.117420919,No
48,3.113154786,1,9,4.314928419,4.712014941,5,99.8485929,9,10,7.140845053,No
49,4.52700095,5,5,2.631087433,2.291329524,7,96.64668097,8,14,6.970993112,No
50,2.486676374,1,1,2.337154329,4.472087716,3,93.73696178,0,12,4.602423474,No
51,4.42517508,7,2,4.649584162,3.968243375,2,90.61160304,8,8,7.154809177,No
52,2.94651933,4,9,3.769310165,3.955080388,8,87.6431191,6,9,6.830167283,No
53,2.59421364,3,5,4.189186083,4.923245635,5,90.23189446,2,2,5.655981201,No
54,2.971361393,14,8,3.507884187,4.189612691,0,87.99884405,1,13,6.617548143,No
55,4.792863124,11,9,4.079009042,4.203156318,8,91.15510793,9,18,9.328174675,Yes
56,2.560558382,8,0,2.848138916,3.01804829,8,96.10515481,3,11,5.90344351,No
57,4.452755713,3,5,2.938363073,4.367836984,2,95.11032896,6,17,6.806897672,No
58,2.899839287,14,3,4.677365624,4.622516675,3,91.51502741,4,10,7.335810912,No
59,4.038424676,10,7,3.095964838,3.723399791,0,93.63252655,3,10,6.417471107,No
60,4.902176889,9,7,3.746278662,4.714501603,0,90.08933319,8,8,7.563114291,Yes
61,2.651037473,11,2,3.034409148,2.704243223,7,96.32884382,0,5,5.575917351,No
62,2.616349658,13,3,2.554494701,4.643459001,8,93.22448039,9,7,7.455004529,No
63,2.672436573,14,7,3.439641131,4.936942099,5,89.44295236,3,1,6.806788478,No
