EmployeeID,Age,Qualifications,Tasks_completed,Due_tasks,Awards,Experience,AttendancePercentage,PromotionScore,promoted
1,23,B.Tech,32,19,14,9,58.08,47.49,0
2,37,BBA,39,1,4,4,65.01,55.46,0
3,47,BSC,63,15,2,18,77.48,63.13,1
4,32,MBA,59,15,6,18,55.37,63.71,1
5,31,BSC,62,4,9,11,78.88,62.79,1
6,53,MSC,14,17,8,12,94.04,54.06,0
7,21,PhD,27,16,3,12,76.56,50.61,0
8,60,B.Tech,48,19,3,10,61.72,50.45,0
9,53,BBA,14,2,14,13,85.12,46.9,0
10,35,BSC,64,6,5,26,51.92,55.47,0
11,42,BBA,34,4,7,29,63.88,57.44,0
12,56,M.Tech,69,6,14,4,73.63,63.16,1
13,62,MSC,55,0,6,28,85.01,73.1,1
14,27,B.Tech,47,18,11,21,65.85,54.75,0
15,36,M.Tech,78,4,13,10,97.91,80.58,1
16,60,M.Tech,60,13,0,27,68.65,64.64,1
17,34,BSC,4,15,3,10,98.65,50.09,0
18,25,B.Tech,3,12,9,7,89.77,46.21,0
19,34,BBA,1,10,0,1,74.98,23.43,0
20,39,M.Tech,96,2,2,23,65.33,74.97,1
21,31,MSC,67,9,8,8,94.07,65.87,1
22,46,B.Tech,43,0,6,15,64.36,50.01,0
23,30,BSC,69,12,6,3,50.11,61.5,1
24,51,B.Tech,31,10,2,5,50.0,37.89,0
25,50,PhD,64,2,12,13,92.48,81.99,1
26,49,PhD,56,19,1,8,57.36,49.52,0
27,55,MBA,97,6,11,2,87.98,74.11,1
28,47,MBA,48,4,13,25,95.13,76.61,1
29,28,MBA,67,5,12,1,89.6,78.35,1
30,46,MBA,19,17,3,6,76.59,38.11,0
31,57,BBA,58,5,3,19,50.55,50.55,0
32,22,BSC,31,12,5,20,63.03,59.69,0
33,25,PhD,38,8,7,10,72.22,57.5,0
34,35,M.Tech,49,15,0,16,53.44,49.48,0
35,29,B.Tech,12,2,8,22,56.04,48.35,0
36,38,BSC,59,0,10,17,80.85,74.5,1
37,48,MSC,82,17,3,20,72.22,68.76,1
38,52,MSC,68,17,11,13,52.1,56.78,0
39,56,B.Tech,23,1,1,27,53.02,44.63,0
40,34,BSC,95,4,8,4,71.54,81.75,1
41,60,BSC,65,4,7,23,54.53,62.09,1
42,31,M.Tech,35,4,1,14,68.17,41.41,0
43,58,MBA,3,16,9,19,58.77,45.55,0
44,30,BBA,25,13,4,21,68.8,57.72,0
45,33,M.Tech,31,17,4,26,88.32,55.63,0
46,52,MSC,68,14,8,28,68.38,83.5,1
47,40,BSC,17,16,2,25,67.55,52.28,0
48,23,MBA,52,17,5,18,79.48,55.07,0
49,35,MBA,50,12,11,11,57.59,53.86,0
50,30,M.Tech,22,9,2,28,51.56,39.3,0
51,47,BBA,96,10,2,4,54.14,69.63,1
52,40,B.Tech,70,18,5,25,74.18,74.91,1
53,26,BBA,17,15,5,17,51.96,41.24,0
54,23,PhD,5,9,4,26,94.18,60.92,1
55,50,BSC,10,8,11,4,80.69,43.94,0
56,50,M.Tech,30,1,0,10,55.07,51.2,0
57,46,M.Tech,54,19,1,17,84.16,62.97,1
58,54,M.Tech,78,14,4,14,72.5,65.57,1
59,40,M.Tech,89,2,13,19,56.5,82.56,1
60,21,M.Tech,62,14,1,8,87.54,56.19,0
61,40,MBA,94,12,10,25,67.63,83.76,1
62,61,PhD,62,18,11,5,99.93,68.13,1
63,55,MBA,22,14,11,18,60.21,52.16,0
64,50,BSC,30,2,10,17,55.79,54.64,0
65,60,M.Tech,28,19,7,2,55.27,37.8,0
66,55,PhD,30,8,0,14,86.58,49.84,0
67,46,B.Tech,84,5,7,11,95.33,77.38,1
68,35,MSC,64,12,3,12,88.62,73.64,1
